Name,Manufacturer,Year,Model,Type,Rarity,Rarity,Country,Country,Value,PI,PI,Speed,Handling,Acceleration,Launch,Braking,Offroad
Abarth 595 '68,Abarth,1968,Abarth 595 esseesse,Cult Classics,1,Common,IT,,"35,000 CR",D,100,2.6,3.7,1.7,2.6,2,5.1
Abarth 131,Abarth,1980,Fiat 131,Classic Rally,1,Common,IT,,"250,000 CR",C,510,4.3,4.1,4.1,3.9,3.2,5.9
Abarth 695 '16,Abarth,2016,695 Biposto,Hot Hatch,1,Common,IT,,"250,000 CR",B,657,4.9,5.3,4.7,4.4,4.8,5.1
Abarth 124 '17,Abarth,2017,124 Spider,Modern Sports Cars,1,Common,IT,,"250,000 CR",C,562,5.2,4.7,3.8,4.6,3.3,5.5
Acura Integra,Acura,2001,Integra Type R,Retro Hot Hatch,1,Common,US,,"25,000 CR",C,596,5.6,5.1,3.9,3.1,3.4,5.1
Acura RSX,Acura,2002,RSX Type S,Retro Hot Hatch,1,Common,US,,"25,000 CR",C,585,5.6,5.1,3.9,3,3.5,5.3
Acura NSX '17,Acura,2017,NSX,Modern Supercars,2,Rare,US,,"170,000 CR",S1,831,7,7,9.2,10,7.1,4.7
Alfa Romeo TZ2,Alfa Romeo,1965,Giulia TZ2,Classic Racers,4,Legendary,IT,,"4,000,000 CR",B,641,5.5,3.9,4.1,3.4,3.4,5.3
Alfa Romeo GTA,Alfa Romeo,1965,Giulia Sprint GTA Stradale,Rare Classics,2,Rare,IT,,"300,000 CR",D,486,4,3.7,3.7,3.2,2.8,5.3
Alfa Romeo 33S,Alfa Romeo,1968,33 Stradale,Classic Racers,4,Legendary,IT,,"15,000,000 CR",A,707,6.2,4.4,5.7,5.7,3.6,5
Alfa Romeo 155,Alfa Romeo,1992,155 Q4,Retro Saloons,1,Common,IT,,"250,000 CR",C,561,5.4,4.4,4,4.3,2.9,5.7
Alfa Romeo 8C,Alfa Romeo,2007,8C Competizione,GT Cars,3,Epic,IT,,"300,000 CR",A,755,7,5.3,5.4,5.5,4.9,5.2
Alfa Romeo 4C,Alfa Romeo,2014,4C,Modern Sports Cars,2,Rare,IT,,"250,000 CR",A,755,5.9,5.7,4.8,7,5.2,5
Alfa Giulia '17,Alfa Romeo,2017,Giulia Quadrifoglio,Super Saloons,2,Rare,IT,,"120,000 CR",A,775,7.3,6.4,5.9,4.9,6.7,5
Alpine A110 '73,Alpine,1973,A110 1600S,Classic Rally,2,Rare,FR,,"98,000 CR",C,550,5,4.4,4.1,3.1,3,5.3
Alpine A110 '17,Alpine,2017,A110,Modern Sports Cars,3,Epic,FR,,"67,500 CR",B,694,6,6.4,5.4,5.7,4.2,4.2
Alumni Craft C. 10,Alumnicraft,2015,Class 10 Race Car,Unlimited Buggies,3,Epic,US,,"300,000 CR",B,642,4.4,3.8,5,4.1,4.8,10
#122 AC Class 1,Alumnicraft,2021,#122 Class 1 Buggy,Unlimited Buggies,3,Epic,US,,"300,000 CR",B,689,4.9,2.9,6.4,5.3,5.3,9.1
